400, PA5-E-Debug-Output.txt
 -112.6304,   140.0262,   -40.3412,     2.5057,   -88.4503,    11.6892
  -11.4550     9.8645    13.8355   -11.4250     9.6753    14.0516     0.2888
  -36.6968   -20.4865   -13.7004   -36.6027   -20.6282   -13.5984     0.1984
    4.9530    12.5238   -23.9086     4.7496    12.7947   -23.7920     0.3582
   14.1264   -11.0151     2.7199    14.2626   -10.9303     2.5882     0.2076
   13.8300    21.0773   -16.2976    13.6083    21.3489   -16.1601     0.3766
  -18.4490     0.8970     2.5103   -18.4184     0.7539     2.6883     0.2304
    0.6237   -13.2435   -25.8805     0.6058   -13.0007   -25.9592     0.2559
    0.5031    17.6081    51.0802     0.6944    17.1750    51.3048     0.5240
    9.9950   -15.0675   -20.8384    10.0241   -14.8031   -20.9900     0.3062
   20.1828    -2.3636    36.2202    20.4494    -2.5312    36.1405     0.3248
   14.8037    -9.3043   -26.2350    14.7588    -8.9532   -26.3701     0.3789
  -39.4489   -12.7860   -13.6063   -39.4147   -12.9442   -13.4204     0.2465
  -33.5048     6.3254   -24.9146   -33.6812     6.3227   -24.6072     0.3544
   18.9935    15.6545    25.5680    19.0588    15.5840    25.6460     0.1237
  -32.0284     6.2062   -35.1819   -32.2630     6.3065   -34.8899     0.3878
   -9.6069    15.2379    32.2388    -9.5107    14.8996    32.4982     0.4370
   25.3762    11.6153    12.2640    25.3979    11.7086    12.2602     0.0958
  -25.0475     3.1693   -16.8769   -25.1496     3.1539   -16.6467     0.2523
    0.7311    -8.1737    50.7523     1.1193    -8.6165    50.7532     0.5889
   -2.6103    14.7823    -5.9766    -2.7298    14.8382    -5.7838     0.2336
   22.2626     3.7164    38.1932    22.4946     3.5494    38.1536     0.2885
   -8.6320   -19.2818   -22.7601    -8.5889   -19.1376   -22.8305     0.1661
  -24.2678   -11.7323    -6.6000   -24.1951   -11.8427    -6.4982     0.1669
  -35.4648   -17.0170   -11.1814   -35.3823   -17.1705   -11.0561     0.2146
  -43.2283   -21.8626   -35.5274   -43.2529   -21.8562   -35.4061     0.1240
   17.0587    18.3908    12.2604    17.0249    18.4276    12.3679     0.1185
   19.2802     0.7073    56.3795    19.6398     0.3535    56.3417     0.5059
    7.3909    -8.3492    14.8392     7.5744    -8.4208    14.7791     0.2059
  -37.9300   -27.5351   -27.5924   -37.8628   -27.5647   -27.5498     0.0849
