400, PA5-F-Debug-Output.txt
  -10.3658,    11.3366,    -3.7205,    -4.5358,    -6.7626,    -3.2128
  -29.4640     4.6154   -16.4157   -29.5416     4.6325   -16.2916     0.1473
   -2.6749   -14.9145   -35.0850    -2.8207   -14.8676   -35.0970     0.1536
  -10.4097    -0.7799    36.5954   -10.2518    -0.8022    36.6376     0.1649
  -28.5626   -21.6385    -7.4791   -28.5876   -21.6293    -7.3813     0.1013
  -26.5671   -10.6005    -6.6350   -26.5940   -10.5911    -6.5360     0.1030
    6.4393    16.0015    64.0963     6.7099    15.9622    64.0830     0.2738
   17.0995    20.1305    26.9359    17.2075    20.1302    26.8757     0.1236
   11.5999    -7.3796   -21.5850    11.5105    -7.3383   -21.6510     0.1186
    8.4909   -15.8042    -8.0564     8.4644   -15.7767    -8.1149     0.0699
   -5.5695   -20.3142   -37.7080    -5.7243   -20.2664   -37.7126     0.1620
   38.8331     6.1682    14.0488    38.8945     6.1900    13.8801     0.1808
  -43.4020    -9.8006   -23.5675   -43.5047    -9.7836   -23.3963     0.2003
  -23.5389     1.3377   -14.8447   -23.6074     1.3562   -14.7491     0.1189
  -39.9494    -2.9014   -27.3011   -40.0716    -2.8793   -27.1393     0.2040
  -13.7871     8.0735    26.2447   -13.6791     8.0591    26.3082     0.1261
  -15.0741     3.7962   -18.8557   -15.1603     3.8224   -18.7953     0.1085
  -17.4780   -20.1990    -8.1411   -17.5054   -20.1839    -8.0904     0.0596
   28.3467    11.3116    30.8136    28.4773    11.3131    30.6970     0.1751
  -32.4120   -21.5412    -9.0951   -32.4445   -21.5323    -8.9807     0.1193
   33.9790   -10.6110    12.9333    34.0437   -10.5906    12.7707     0.1762
  -42.9539   -17.6982   -24.8202   -43.0579   -17.6799   -24.6582     0.1934
   -9.4722     3.4647    44.2380    -9.2832     3.4359    44.2806     0.1959
   22.6755    12.9088    59.9234    22.9314    12.8809    59.8362     0.2717
   25.0757     0.8728    47.1720    25.2825     0.8577    47.0622     0.2347
  -23.1416     3.6831   -15.7210   -23.2150     3.7026   -15.6252     0.1222
   -2.4485    -7.5653   -39.7979    -2.6186    -7.5140   -39.8049     0.1778
   -9.2253     4.6374    59.9489    -8.9684     4.5944    59.9932     0.2642
   -7.8634   -27.7495   -27.5198    -7.9702   -27.7121   -27.5199     0.1131
   -5.3278   -13.5499     8.7336    -5.2840   -13.5444     8.7391     0.0445
  -22.1954     5.6859   -26.8745   -22.3182     5.7161   -26.7822     0.1566
   19.0527    22.7508    -5.7451    19.0174    22.7814    -5.8150     0.0841
   -9.6683     7.8934    -0.6798    -9.6770     7.9055    -0.6373     0.0451
   26.5515    18.2538   -27.0152    26.4267    18.3073   -27.1242     0.1741
  -16.7686     1.6697    -2.1596   -16.7812     1.6799    -2.0919     0.0696
  -23.6168   -13.0324    -4.4901   -23.6327   -13.0235    -4.4059     0.0862
   10.6705    21.6666    13.2721    10.7176    21.6757    13.2398     0.0578
   39.5522    13.8689     8.3678    39.5850    13.8962     8.2022     0.1710
   -7.8628    18.9296    29.9687    -7.7437    18.9147    30.0166     0.1292
   24.9062   -15.1857    -4.4320    24.8968   -15.1538    -4.5610     0.1333
  -28.8117   -24.9599   -10.2841   -28.8471   -24.9483   -10.1885     0.1026
