150, PA5-B-Debug-Output.txt
 -128.3913,   192.6320,   -63.3672,   -27.6947,    -6.9230,    -6.7149
   11.4556   -13.0773   -25.3703    11.4430   -13.0679   -25.3766     0.0169
   -0.3813    19.2140    14.9178    -0.3758    19.2115    14.9273     0.0112
  -34.6239   -20.1022   -15.1904   -34.6287   -20.1078   -15.1659     0.0255
   -6.9221   -20.2657   -43.5187    -6.9455   -20.2573   -43.5142     0.0253
  -28.8873     6.5801   -18.1178   -28.9016     6.5770   -18.0920     0.0297
   -7.0076     9.3572    41.5745    -6.9812     9.3469    41.5873     0.0311
  -31.5708   -23.5377   -14.8503   -31.5742   -23.5425   -14.8286     0.0225
  -32.8531   -26.4077   -42.2804   -32.8746   -26.4068   -42.2592     0.0302
   32.5497    -9.8342   -10.6025    32.5470    -9.8221   -10.6223     0.0234
   -2.0918    16.8589    37.8719    -2.0699    16.8508    37.8827     0.0257
    7.6000    16.8903   -28.8154     7.5764    16.8996   -28.8131     0.0256
   12.3984    16.5699   -27.4110    12.3759    16.5803   -27.4120     0.0248
  -33.5143   -29.0903   -37.1146   -33.5314   -29.0907   -37.0933     0.0274
   -8.1082   -21.4459   -11.7128    -8.1095   -21.4450   -11.7069     0.0061
  -23.0354    -9.6393    -7.1041   -23.0373    -9.6434    -7.0853     0.0193
   13.9029    -7.5448    59.5760    13.9471    -7.5534    59.5714     0.0454
   25.8876    17.6351    -1.1146    25.8832    17.6434    -1.1241     0.0133
    6.9772   -13.1214    -2.1297     6.9805   -13.1183    -2.1323     0.0052
   34.3402    11.3454     0.7804    34.3392    11.3556     0.7639     0.0194
    3.6053    -3.6646   -25.9584     3.5895    -3.6571   -25.9574     0.0176
  -38.9456   -22.2455   -38.0433   -38.9655   -22.2472   -38.0169     0.0332
  -15.1279    -6.0829   -49.8057   -15.1600    -6.0754   -49.7928     0.0354
   29.3681     1.7422    42.7448    29.3985     1.7416    42.7309     0.0335
   -8.9209    15.4554    39.0068    -8.8981    15.4452    39.0220     0.0293
   13.8182    20.2337    10.9013    13.8210    20.2360    10.9010     0.0036
  -33.6045     4.3216   -19.5700   -33.6193     4.3174   -19.5414     0.0325
