150, PA5-K-Unknown-Output.txt
   -9.8757,     4.4090,     0.6432,   -10.5327,    15.3431,    -7.3362
   17.1522    21.5277    57.6265    17.2391    21.5249    57.5984     0.0914
  -30.2197     9.7076   -19.3542   -30.2710     9.6573   -19.2915     0.0954
   -3.6071    -1.0373    55.9740    -3.5072    -1.0557    55.9893     0.1027
    8.2491    20.7659   -23.8379     8.1819    20.7430   -23.8502     0.0721
   23.3893     1.8809    52.5321    23.4810     1.8818    52.4956     0.0987
   20.3105    24.0002    17.6916    20.3199    23.9931    17.6565     0.0370
  -29.5652    10.7902   -20.9018   -29.6202    10.7401   -20.8406     0.0964
  -32.3063     9.0277   -20.2954   -32.3589     8.9757   -20.2286     0.0996
  -20.7134    12.5662   -34.8928   -20.7961    12.5203   -34.8489     0.1043
  -33.0249     8.7176   -33.2549   -33.1019     8.6629   -33.1869     0.1164
   -3.4814    -1.1660    54.9865    -3.3832    -1.1844    55.0015     0.1009
  -36.4349     1.5968   -38.8926   -36.5174     1.5386   -38.8170     0.1261
  -14.1825    -2.1434   -47.6982   -14.2786    -2.1867   -47.6642     0.1108
  -28.5902    10.7219   -33.1516   -28.6684    10.6705   -33.0924     0.1107
   40.6769     3.4607     7.6703    40.6826     3.4668     7.6001     0.0707
  -17.8358    21.1162    19.4469   -17.8216    21.0815    19.4847     0.0533
  -39.9094     2.2777   -26.2095   -39.9685     2.2191   -26.1272     0.1170
   -6.5539   -17.6544   -42.9016    -6.6295   -17.6914   -42.8793     0.0870
   22.6743    26.2014    -5.5806    22.6380    26.1922    -5.6209     0.0550
    7.7321    19.6296   -22.0121     7.6692    19.6066   -22.0232     0.0679
   28.1673    23.2699    -9.8315    28.1252    23.2640    -9.8818     0.0659
  -24.3453   -15.8634    -8.6259   -24.3575   -15.9077    -8.5697     0.0726
   -7.2326    13.3945    -3.8346    -7.2568    13.3636    -3.8160     0.0434
   24.8692    10.9735    54.7976    24.9586    10.9759    54.7568     0.0983
   -1.4153     7.1284   -21.5746    -1.4684     7.0988   -21.5661     0.0614
   -7.1864   -21.1306   -39.6890    -7.2534   -21.1675   -39.6649     0.0802
  -38.0232     2.6562   -34.4677   -38.0981     2.5976   -34.3892     0.1233
   41.6963     5.7819     4.6906    41.6947     5.7882     4.6180     0.0729
   23.4397    24.3932   -21.9057    23.3738    24.3818   -21.9474     0.0788
  -19.3231     3.8191    -4.9170   -19.3425     3.7791    -4.8738     0.0620
   40.7499     3.0139     1.1654    40.7436     3.0190     1.0951     0.0708
    0.1246    24.4000     5.5522     0.1103    24.3761     5.5552     0.0280
   -0.8233   -16.0602   -30.0774    -0.8756   -16.0908   -30.0661     0.0617
  -20.4433     7.5655   -15.2009   -20.4850     7.5230   -15.1564     0.0744
   18.7168    25.5184   -25.3239    18.6435    25.5030   -25.3569     0.0819
  -37.1362    -8.5393   -41.4781   -37.2163    -8.5984   -41.3994     0.1269
  -24.9454   -27.3692   -18.9253   -24.9687   -27.4157   -18.8660     0.0789
  -16.6471    -1.1944   -48.0122   -16.7445    -1.2396   -47.9738     0.1141
   -2.6742     0.8985   -29.8162    -2.7385     0.8666   -29.8043     0.0727
  -35.4825     1.4683   -40.4436   -35.5679     1.4105   -40.3698     0.1268
   18.8055    -1.4478   -24.2329    18.7539    -1.4630   -24.2613     0.0608
    5.7557    -1.7888    58.8617     5.8618    -1.7998    58.8594     0.1067
   -7.0737    10.1634   -16.5756    -7.1197    10.1305   -16.5568     0.0596
    8.6248    17.9663   -21.8204     8.5634    17.9441   -21.8329     0.0664
   -7.9377    -9.1962     3.9799    -7.9305    -9.2264     4.0041     0.0393
   35.2593     6.0239    15.0944    35.2772     6.0273    15.0342     0.0630
   10.9142    16.1246   -32.2373    10.8345    16.1023   -32.2539     0.0844
   -3.1361     7.4466   -22.4929    -3.1912     7.4156   -22.4812     0.0643
  -29.9371    10.3981   -32.5593   -30.0139    10.3457   -32.4975     0.1116
   -9.8312    10.2195   -21.4715    -9.8866    10.1838   -21.4476     0.0701
    8.6382    22.6625    56.4441     8.7219    22.6533    56.4320     0.0851
    0.2373   -10.7230     4.6359     0.2470   -10.7471     4.6448     0.0274
  -21.7676    -0.9675    -5.9239   -21.7855    -1.0094    -5.8752     0.0667
  -25.1603   -17.8625    -9.1457   -25.1720   -17.9075    -9.0875     0.0744
  -42.3951   -11.0430   -24.9966   -42.4422   -11.1033   -24.9072     0.1176
  -12.5934    -9.5331    -0.5871   -12.5947    -9.5674    -0.5541     0.0476
   18.1403    -2.9772    57.6041    18.2451    -2.9793    57.5786     0.1079
   32.8389    18.6244     8.8863    32.8357    18.6250     8.8283     0.0581
    2.1299    -5.4729    35.5110     2.1943    -5.4905    35.5159     0.0669
   23.0752    -6.1291    12.0585    23.0959    -6.1352    12.0234     0.0412
   15.9553    23.5123    34.1251    15.9962    23.5048    34.0985     0.0493
  -41.0302    -8.4556   -19.7799   -41.0692    -8.5140   -19.6935     0.1113
    8.7707    -5.2952   -23.8373     8.7226    -5.3178   -23.8459     0.0539
  -16.8252    -7.9325    -1.8653   -16.8302    -7.9701    -1.8246     0.0557
   11.5472    -5.2607    58.0840    11.6544    -5.2676    58.0713     0.1082
  -28.2097   -26.8610   -20.4581   -28.2363   -26.9101   -20.3928     0.0860
   34.9636    18.3583     6.3037    34.9558    18.3600     6.2417     0.0626
   15.1767    -4.9511    47.8357    15.2644    -4.9570    47.8159     0.0900
  -37.4696   -21.6453   -29.1635   -37.5167   -21.7027   -29.0817     0.1105
   18.7142   -11.1514    -1.2240    18.7133   -11.1629    -1.2502     0.0285
